source,source_game_id,event_id,event_type,game_date,time_control,rated,player_id,opponent_id,player_color,official_elo,opponent_elo,result,avg_acl,account_status,is_banned,label,ingested_at_utc
lichess,aCYw12qa,lichess-event,online,2026-02-25,blitz,true,Dynasty24,Conan_The_Barbarian8,black,2734,2892,loss,34.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,aT3M8ocm,lichess-event,online,2026-02-25,blitz,true,TAsad10,Conan_The_Barbarian8,white,2934,2906,win,11.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,aT3M8ocm,lichess-event,online,2026-02-25,blitz,true,Conan_The_Barbarian8,TAsad10,black,2906,2934,loss,35.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,fVdHVukE,lichess-event,online,2026-02-25,blitz,true,Conan_The_Barbarian8,Dynasty24,white,2933,2733,loss,33.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,fVdHVukE,lichess-event,online,2026-02-25,blitz,true,Dynasty24,Conan_The_Barbarian8,black,2733,2933,win,13.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,ymkGX9F1,lichess-event,online,2026-02-25,blitz,true,Dynasty24,Conan_The_Barbarian8,white,2737,2923,loss,50.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,ymkGX9F1,lichess-event,online,2026-02-25,blitz,true,Conan_The_Barbarian8,Dynasty24,black,2923,2737,win,40.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,vDukC13g,lichess-event,online,2026-02-15,blitz,true,Little_Skib,Conan_The_Barbarian8,white,2781,2912,loss,34.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,vDukC13g,lichess-event,online,2026-02-15,blitz,true,Conan_The_Barbarian8,Little_Skib,black,2912,2781,win,16.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,p93mBTXp,lichess-event,online,2026-02-15,blitz,true,Conan_The_Barbarian8,gefuehlter_FM,white,2901,2742,win,27.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,p93mBTXp,lichess-event,online,2026-02-15,blitz,true,gefuehlter_FM,Conan_The_Barbarian8,black,2742,2901,loss,42.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,b9E43Atu,lichess-event,online,2026-02-15,blitz,true,pawnup4,Conan_The_Barbarian8,white,2782,2928,win,46.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,b9E43Atu,lichess-event,online,2026-02-15,blitz,true,Conan_The_Barbarian8,pawnup4,black,2928,2782,loss,38.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,cZb1g9JN,lichess-event,online,2026-02-15,blitz,true,Conan_The_Barbarian8,Roman_Yanchenko,white,2916,2764,win,5.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,cZb1g9JN,lichess-event,online,2026-02-15,blitz,true,Roman_Yanchenko,Conan_The_Barbarian8,black,2764,2916,loss,16.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,1gE25FDq,lichess-event,online,2025-11-13,blitz,true,Spacyspice,Conan_The_Barbarian8,white,2738,2912,loss,35.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,1gE25FDq,lichess-event,online,2025-11-13,blitz,true,Conan_The_Barbarian8,Spacyspice,black,2912,2738,win,22.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,CpiXaCD5,lichess-event,online,2025-11-13,blitz,true,cutemouse83,Conan_The_Barbarian8,white,2940,2919,win,21.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,CpiXaCD5,lichess-event,online,2025-11-13,blitz,true,Conan_The_Barbarian8,cutemouse83,black,2919,2940,loss,34.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,QnoTSNNS,lichess-event,online,2025-11-10,blitz,true,somaliancat,Conan_The_Barbarian8,white,2918,2912,loss,28.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,QnoTSNNS,lichess-event,online,2025-11-10,blitz,true,Conan_The_Barbarian8,somaliancat,black,2912,2918,win,17.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,goSrGke5,lichess-event,online,2025-11-10,blitz,true,Conan_The_Barbarian8,somaliancat,white,2904,2924,win,15.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,goSrGke5,lichess-event,online,2025-11-10,blitz,true,somaliancat,Conan_The_Barbarian8,black,2924,2904,loss,40.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,rld7cODU,lichess-event,online,2025-11-10,blitz,true,Conan_The_Barbarian8,cutemouse83,white,2911,2952,loss,21.0,active,false,clean,2026-03-02T16:21:47+00:00
