source,source_game_id,event_id,event_type,game_date,time_control,rated,player_id,opponent_id,player_color,official_elo,opponent_elo,result,avg_acl,account_status,is_banned,label,ingested_at_utc
lichess,QJPAw2LG,lichess-event,online,2026-02-23,blitz,true,Andrey11976,CalisthenicsBoy,black,2760,2991,loss,36.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,OnDCleN4,lichess-event,online,2026-02-23,blitz,true,Andrey11976,CalisthenicsBoy,white,2763,2989,loss,28.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,OnDCleN4,lichess-event,online,2026-02-23,blitz,true,CalisthenicsBoy,Andrey11976,black,2989,2763,win,14.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,OGejQgWe,lichess-event,online,2026-02-22,blitz,true,NowIAmSerious,CalisthenicsBoy,white,2823,2985,loss,30.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,OGejQgWe,lichess-event,online,2026-02-22,blitz,true,CalisthenicsBoy,NowIAmSerious,black,2985,2823,win,13.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,1pj2sltJ,lichess-event,online,2026-02-22,blitz,true,Fabsid,CalisthenicsBoy,white,2748,2988,draw,24.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,1pj2sltJ,lichess-event,online,2026-02-22,blitz,true,CalisthenicsBoy,Fabsid,black,2988,2748,draw,25.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,WVu2ibj4,lichess-event,online,2026-02-22,blitz,true,CalisthenicsBoy,Fabsid,white,2986,2747,win,27.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,WVu2ibj4,lichess-event,online,2026-02-22,blitz,true,Fabsid,CalisthenicsBoy,black,2747,2986,loss,42.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,AKSpidqw,lichess-event,online,2026-02-22,blitz,true,Fabsid,CalisthenicsBoy,white,2759,2984,loss,37.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,AKSpidqw,lichess-event,online,2026-02-22,blitz,true,CalisthenicsBoy,Fabsid,black,2984,2759,win,18.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,bgcaSs8M,lichess-event,online,2026-02-22,blitz,true,CalisthenicsBoy,mindSet2020,white,2981,2809,win,18.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,bgcaSs8M,lichess-event,online,2026-02-22,blitz,true,mindSet2020,CalisthenicsBoy,black,2809,2981,loss,35.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,ftE9DasK,lichess-event,online,2026-02-22,blitz,true,mindSet2020,CalisthenicsBoy,white,2806,2983,draw,25.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,ftE9DasK,lichess-event,online,2026-02-22,blitz,true,CalisthenicsBoy,mindSet2020,black,2983,2806,draw,23.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,hquFZIYc,lichess-event,online,2026-02-22,blitz,true,CalisthenicsBoy,mindSet2020,white,2980,2804,win,29.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,hquFZIYc,lichess-event,online,2026-02-22,blitz,true,mindSet2020,CalisthenicsBoy,black,2804,2980,loss,56.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,7bCHCeTR,lichess-event,online,2026-02-22,blitz,true,CalisthenicsBoy,FinisEffectum,white,2978,2740,win,10.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,7bCHCeTR,lichess-event,online,2026-02-22,blitz,true,FinisEffectum,CalisthenicsBoy,black,2740,2978,loss,25.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,uwC9A6sB,lichess-event,online,2026-02-22,blitz,true,FinisEffectum,CalisthenicsBoy,white,2743,2975,loss,30.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,uwC9A6sB,lichess-event,online,2026-02-22,blitz,true,CalisthenicsBoy,FinisEffectum,black,2975,2743,win,6.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,zqtsdWlf,lichess-event,online,2026-02-22,blitz,true,CalisthenicsBoy,FinisEffectum,white,2979,2739,draw,8.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,zqtsdWlf,lichess-event,online,2026-02-22,blitz,true,FinisEffectum,CalisthenicsBoy,black,2739,2979,draw,8.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,vsd4Zqes,lichess-event,online,2026-02-21,blitz,true,Fabsid,CalisthenicsBoy,white,2754,2982,draw,20.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,vsd4Zqes,lichess-event,online,2026-02-21,blitz,true,CalisthenicsBoy,Fabsid,black,2982,2754,draw,19.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,eToX7uNw,lichess-event,online,2026-02-21,blitz,true,KAVO_LIDER,CalisthenicsBoy,white,2737,2985,draw,13.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,eToX7uNw,lichess-event,online,2026-02-21,blitz,true,CalisthenicsBoy,KAVO_LIDER,black,2985,2737,draw,13.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,fG9FrSQJ,lichess-event,online,2026-02-21,blitz,true,CalisthenicsBoy,Fabsid,white,2983,2763,win,15.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,fG9FrSQJ,lichess-event,online,2026-02-21,blitz,true,Fabsid,CalisthenicsBoy,black,2763,2983,loss,26.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,110ol08z,lichess-event,online,2026-02-21,blitz,true,Fabsid,CalisthenicsBoy,white,2766,2980,loss,52.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,110ol08z,lichess-event,online,2026-02-21,blitz,true,CalisthenicsBoy,Fabsid,black,2980,2766,win,23.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,UO45UrqL,lichess-event,online,2026-02-21,blitz,true,CalisthenicsBoy,Fabsid,white,2984,2763,draw,17.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,UO45UrqL,lichess-event,online,2026-02-21,blitz,true,Fabsid,CalisthenicsBoy,black,2763,2984,draw,17.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,GMfghH7N,lichess-event,online,2026-02-21,blitz,true,Fabsid,CalisthenicsBoy,white,2762,2981,loss,46.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,GMfghH7N,lichess-event,online,2026-02-21,blitz,true,CalisthenicsBoy,Fabsid,black,2981,2762,win,14.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,2Zpt01jM,lichess-event,online,2026-02-21,blitz,true,CalisthenicsBoy,gmmoranda,white,2978,2805,win,15.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,2Zpt01jM,lichess-event,online,2026-02-21,blitz,true,gmmoranda,CalisthenicsBoy,black,2805,2978,loss,26.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,l1FkDjCk,lichess-event,online,2026-02-21,blitz,true,CalisthenicsBoy,Fabsid,white,2981,2759,draw,8.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,l1FkDjCk,lichess-event,online,2026-02-21,blitz,true,Fabsid,CalisthenicsBoy,black,2759,2981,draw,7.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,OH0mPfex,lichess-event,online,2026-02-21,blitz,true,Fabsid,CalisthenicsBoy,white,2762,2979,loss,14.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,OH0mPfex,lichess-event,online,2026-02-21,blitz,true,CalisthenicsBoy,Fabsid,black,2979,2762,win,6.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,FxjRkTUD,lichess-event,online,2026-02-21,blitz,true,sillyMASTER,CalisthenicsBoy,white,2830,2987,win,24.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,FxjRkTUD,lichess-event,online,2026-02-21,blitz,true,CalisthenicsBoy,sillyMASTER,black,2987,2830,loss,42.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,yFBUmbvj,lichess-event,online,2026-02-20,blitz,true,CalisthenicsBoy,Andrey11976,white,2984,2801,win,9.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,yFBUmbvj,lichess-event,online,2026-02-20,blitz,true,Andrey11976,CalisthenicsBoy,black,2801,2984,loss,29.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,nHJyRTIG,lichess-event,online,2026-02-20,blitz,true,Andrey11976,CalisthenicsBoy,white,2804,2981,loss,45.0,unknown,false,clean,2026-03-02T16:21:47+00:00
